id,icon,tab,name
exec,fa-black-tie,Executive,Executive Team
man,fa-balance-scale,Management,Management Team
alum,fa-star,Alumni,Alumni
adv,fa-commenting,Advisor,Advisor Team
spon,fa-donate,Supporters,Sponsors and Donors
ment,fa-user,Mentorship,Mentorship Program
